,FSC SSC/Singlets/Live/CD3+CD8+/0div. | Freq. of Parent (%),FSC SSC/Singlets/Live/CD3+CD8+/1div. | Freq. of Parent (%),FSC SSC/Singlets/Live/CD3+CD8+/2div. | Freq. of Parent (%),FSC SSC/Singlets/Live/CD3+CD8+/3div. | Freq. of Parent (%),FSC SSC/Singlets/Live/CD3+CD8-/0div. | Freq. of Parent (%),FSC SSC/Singlets/Live/CD3+CD8-/1div. | Freq. of Parent (%),FSC SSC/Singlets/Live/CD3+CD8-/2div. | Freq. of Parent (%),FSC SSC/Singlets/Live/CD3+CD8-/3div. | Freq. of Parent (%)
Specimen_001_B2_B02_001.fcs,25.3,25.9,21.6,67,31,25.1,25.2,59.1
Specimen_002_B3_B03_002.fcs,23.9,27.2,21.9,66.7,30.8,28.1,27.4,53.5
Specimen_003_B4_B04_003.fcs,20.9,26.4,22.4,69.8,27.4,27.6,28,56.6
Specimen_004_B5_B05_004.fcs,43.3,21.7,20.9,53.7,53.5,19.66,18.13,49.2
Specimen_005_B6_B06_005.fcs,29.6,22.5,18.47,69,33,20.6,20.6,65.8
Specimen_006_B7_B07_006.fcs,26.8,24.7,19.77,68.4,31.7,23.4,22.9,61.9
Specimen_007_C2_C02_007.fcs,49.2,35.7,24.3,30.4,52.1,32.1,24.4,32.3
Specimen_008_C3_C03_008.fcs,21.6,25.9,20.5,71.7,28.6,26,24.9,60.4
Specimen_009_C4_C04_009.fcs,20.6,25.4,20.7,72.9,28.1,26.9,27.2,57
Specimen_010_C5_C05_010.fcs,65.9,34.6,18.07,20.9,68.6,29.7,18.66,24.1
Specimen_011_C6_C06_011.fcs,24.1,24.7,19.73,71,27.5,24.2,23.5,64.8
Specimen_012_C7_C07_012.fcs,22.7,26.6,20.2,70.2,28.9,27.6,26.3,56.6
Specimen_013_D2_D02_013.fcs,28.1,23.5,22.2,65.6,33.5,22.2,22.1,62.5
Specimen_014_D3_D03_014.fcs,24.4,26.7,20.2,68.3,29.8,25.6,24.3,60.1
Specimen_015_D4_D04_015.fcs,21,26.1,20.5,71.9,27.1,26.2,25.7,60.4
Specimen_016_D5_D05_016.fcs,100.4,16.67,10.22,11.72,103.5,14.57,10.4,12.49
Specimen_017_D6_D06_017.fcs,27.5,20.9,18.14,72.8,30.9,19.06,18.46,71.6
Specimen_018_D7_D07_018.fcs,24.5,24.8,19.24,71,29.6,23.8,23.1,63
Specimen_019_E2_E02_019.fcs,93,19.51,11.24,15.69,94.2,19.2,12.35,15.59
Specimen_020_E3_E03_020.fcs,23.4,24.9,19.23,72.1,28.4,24.4,23.4,64.1
Specimen_021_E4_E04_021.fcs,21.9,27,20.6,70.2,28.1,27.4,26.6,57.4
Specimen_022_E5_E05_022.fcs,94.8,18.25,11.35,14.81,93.7,18.52,12.07,16.59
Specimen_023_E6_E06_023.fcs,24.2,23.1,18.49,73.8,26.8,22.5,22.4,68.5
Specimen_024_E7_E07_024.fcs,22.6,25.8,20.3,70.9,27.9,26.2,24.8,60.7
Specimen_025_F2_F02_025.fcs,60.7,24.7,18.5,35.2,68.3,20.6,15.83,35.7
Specimen_026_F3_F03_026.fcs,27.2,24.9,19.66,67.7,31.3,22.6,21.9,64.1
Specimen_027_F4_F04_027.fcs,24.6,27.1,21.2,66.4,28.4,26.3,24.1,61
Specimen_028_F5_F05_028.fcs,27,24.4,20.6,66.8,30.7,21.3,20.2,67.8
Specimen_029_F6_F06_029.fcs,22.7,25.8,19.18,71.6,27.2,23.9,22.7,66
Specimen_030_F7_F07_030.fcs,25.4,27.7,25.5,58,31.1,26.1,23.4,58.5
Specimen_031_G2_G02_031.fcs,54.4,34,21.4,29.6,58.1,30,20.7,31.9
Specimen_032_G3_G03_032.fcs,24.4,25.3,18.99,70.8,29.3,24.9,23.1,62.7
Specimen_033_G4_G04_033.fcs,23,27,20.4,69.1,29,27.3,25.3,57.8
Specimen_034_G5_G05_034.fcs,25.3,24.3,21.3,67.9,30.7,22.3,20.9,65.7
Specimen_035_G6_G06_035.fcs,23.6,25.8,19.47,70.7,28.2,25.6,24.1,62.2
Specimen_036_G7_G07_036.fcs,23.8,27.2,20.8,67.8,29.5,28.2,25.6,56
Specimen_037_B8_B08_037.fcs,20.6,29.6,23.2,66.1,28.1,28.8,28.5,53.8
Specimen_037_B9_B09_038.fcs,21.3,29.7,23.3,65.1,28.7,29.6,28.4,52.5
Specimen_038_C8_C08_039.fcs,107.2,12.39,10.044,10.022,106.9,11.49,10.02,10.027
Specimen_038_C9_C09_040.fcs,107.5,12.13,10.044,10.022,107.7,11.3,10.00631,10.022
Specimen_001_B2_B02_001.fcs,25.3,25.9,21.6,67,31,25.1,25.2,59.1
Specimen_002_B3_B03_002.fcs,23.9,27.2,21.9,66.7,30.8,28.1,27.4,53.5
Specimen_003_B4_B04_003.fcs,20.9,26.4,22.4,69.8,27.4,27.6,28,56.6
Specimen_004_B5_B05_004.fcs,43.3,21.7,20.9,53.7,53.5,19.66,18.13,49.2
Specimen_005_B6_B06_005.fcs,29.6,22.5,18.47,69,33,20.6,20.6,65.8
Specimen_006_B7_B07_006.fcs,26.8,24.7,19.77,68.4,31.7,23.4,22.9,61.9
Specimen_007_C2_C02_007.fcs,49.2,35.7,24.3,30.4,52.1,32.1,24.4,32.3
Specimen_008_C3_C03_008.fcs,21.6,25.9,20.5,71.7,28.6,26,24.9,60.4
Specimen_009_C4_C04_009.fcs,20.6,25.4,20.7,72.9,28.1,26.9,27.2,57
Specimen_010_C5_C05_010.fcs,65.9,34.6,18.07,20.9,68.6,29.7,18.66,24.1
Specimen_011_C6_C06_011.fcs,24.1,24.7,19.73,71,27.5,24.2,23.5,64.8
Specimen_012_C7_C07_012.fcs,22.7,26.6,20.2,70.2,28.9,27.6,26.3,56.6
Specimen_013_D2_D02_013.fcs,28.1,23.5,22.2,65.6,33.5,22.2,22.1,62.5
Specimen_014_D3_D03_014.fcs,24.4,26.7,20.2,68.3,29.8,25.6,24.3,60.1
Specimen_015_D4_D04_015.fcs,21,26.1,20.5,71.9,27.1,26.2,25.7,60.4
Specimen_016_D5_D05_016.fcs,100.4,16.67,10.22,11.72,103.5,14.57,10.4,12.49
Specimen_017_D6_D06_017.fcs,27.5,20.9,18.14,72.8,30.9,19.06,18.46,71.6
Specimen_018_D7_D07_018.fcs,24.5,24.8,19.24,71,29.6,23.8,23.1,63
Specimen_019_E2_E02_019.fcs,93,19.51,11.24,15.69,94.2,19.2,12.35,15.59
Specimen_020_E3_E03_020.fcs,23.4,24.9,19.23,72.1,28.4,24.4,23.4,64.1
Specimen_021_E4_E04_021.fcs,21.9,27,20.6,70.2,28.1,27.4,26.6,57.4
Specimen_022_E5_E05_022.fcs,94.8,18.25,11.35,14.81,93.7,18.52,12.07,16.59
Specimen_023_E6_E06_023.fcs,24.2,23.1,18.49,73.8,26.8,22.5,22.4,68.5
Specimen_024_E7_E07_024.fcs,22.6,25.8,20.3,70.9,27.9,26.2,24.8,60.7
Specimen_025_F2_F02_025.fcs,60.7,24.7,18.5,35.2,68.3,20.6,15.83,35.7
Specimen_026_F3_F03_026.fcs,27.2,24.9,19.66,67.7,31.3,22.6,21.9,64.1
Specimen_027_F4_F04_027.fcs,24.6,27.1,21.2,66.4,28.4,26.3,24.1,61
Specimen_028_F5_F05_028.fcs,27,24.4,20.6,66.8,30.7,21.3,20.2,67.8
Specimen_029_F6_F06_029.fcs,22.7,25.8,19.18,71.6,27.2,23.9,22.7,66
Specimen_030_F7_F07_030.fcs,25.4,27.7,25.5,58,31.1,26.1,23.4,58.5
Specimen_031_G2_G02_031.fcs,54.4,34,21.4,29.6,58.1,30,20.7,31.9
Specimen_032_G3_G03_032.fcs,24.4,25.3,18.99,70.8,29.3,24.9,23.1,62.7
Specimen_033_G4_G04_033.fcs,23,27,20.4,69.1,29,27.3,25.3,57.8
Specimen_034_G5_G05_034.fcs,25.3,24.3,21.3,67.9,30.7,22.3,20.9,65.7
Specimen_035_G6_G06_035.fcs,23.6,25.8,19.47,70.7,28.2,25.6,24.1,62.2
Specimen_036_G7_G07_036.fcs,23.8,27.2,20.8,67.8,29.5,28.2,25.6,56
Specimen_037_B8_B08_037.fcs,20.6,29.6,23.2,66.1,28.1,28.8,28.5,53.8
Specimen_037_B9_B09_038.fcs,21.3,29.7,23.3,65.1,28.7,29.6,28.4,52.5
Specimen_038_C8_C08_039.fcs,107.2,12.39,10.044,10.022,106.9,11.49,10.02,10.027
Specimen_038_C9_C09_040.fcs,107.5,12.13,10.044,10.022,107.7,11.3,10.00631,10.022
Mean,37.5,25,19.35,57.6,42.2,24,21.9,51.8
SD,36.5,14.76,13.72,31.4,35,14.68,15.08,28
